201812,A81001,THE DENSHAM SURGERY,THE HEALTH CENTRE,LAWSON STREET,STOCKTON-ON-TEES,CLEVELAND,TS18 1HU
201812,A81002,QUEENS PARK MEDICAL CENTRE,QUEENS PARK MEDICAL CTR,FARRER STREET,STOCKTON ON TEES,CLEVELAND,TS18 2AW
201812,A81004,BLUEBELL MEDICAL CENTRE,TRIMDON AVENUE,ACKLAM,MIDDLESBROUGH,N/A,TS5 8SB
201812,A81005,SPRINGWOOD SURGERY,SPRINGWOOD SURGERY,RECTORY LANE,GUISBOROUGH,N/A,TS14 7DJ
201812,A81006,TENNANT STREET MEDICAL PRACTICE,TENNANT ST MEDICAL PRACT,TENNANT STREET,STOCKTON-ON-TEES,CLEVELAND,TS18 2AT
201812,A81007,BANKHOUSE SURGERY,ONE LIFE HARTLEPOOL,PARK ROAD,HARTLEPOOL,CLEVELAND,TS24 7PW
201812,A81009,VILLAGE MEDICAL CENTRE,THE VILLAGE MEDICAL CTR,400/404 LINTHORPE ROAD,MIDDLESBROUGH,CLEVELAND,TS5 6HF
201812,A81011,CHADWICK PRACTICE,ONE LIFE HARTLEPOOL,PARK ROAD,HARTLEPOOL,CLEVELAND,TS24 7PW
201812,A81012,WESTBOURNE MEDICAL CENTRE,WESTBOURNE MEDICAL CENTRE,7 TRINITY MEWS N. ORMESBY,MIDDLESBROUGH,N/A,TS3 6AL
201812,A81013,BROTTON SURGERY,BROTTON SURGERY,ALFORD ROAD BROTTON,SALTBURN BY SEA,N/A,TS12 2FF
201812,A81014,QUEENSTREE PRACTICE,THE HEALTH CENTRE,QUEENSWAY,BILLINGHAM,CLEVELAND,TS23 2LA
201812,A81016,PARK SURGERY,PARK SURGERY  ONE LIFE,LINTHORPE ROAD,MIDDLESBROUGH,CLEVELAND,TS1 3QY
201812,A81017,WOODBRIDGE PRACTICE,THE HEALTH CENTRE,TRENCHARD AVE  THORNABY,STOCKTON ON TEES,CLEVELAND,TS17 0EE
201812,A81018,BENTLEY MEDICAL PRACTICE,REDCAR PRIMARY CARE HOSP,WEST DYKE ROAD,REDCAR,CLEVELAND,TS10 4NW
201812,A81019,CROSSFELL HEALTH CENTRE,CROSSFELL ROAD,BERWICK HILLS,MIDDLESBROUGH,CLEVELAND,TS3 7RL
201812,A81020,MARTONSIDE MEDICAL CENTRE,MARTONSIDE MEDICAL CENTRE,1A MARTONSIDE WAY,MIDDLESBROUGH,CLEVELAND,TS4 3BU
201812,A81021,NORMANBY MEDICAL CENTRE,NORMANBY MEDICAL CENTRE,LOW GRANGE HV NORMANBY RD,MIDDLESBROUGH,CLEVELAND,TS6 6TD
201812,A81022,HILLSIDE PRACTICE,HILLSIDE PRACTICE,WINDERMERE DRIVE SKELTON,SALTBURN BY THE SEA,CLEVELAND,TS12 2TG
201812,A81023,THE ENDEAVOUR PRACTICE,THE HEALTH CENTRE,20 CLEVELAND SQUARE,MIDDLESBROUGH,CLEVELAND,TS1 2NX
201812,A81025,THE DOVECOT SURGERY,THE HEALTH CENTRE,LAWSON STREET,STOCKTON ON TEES,CLEVELAND,TS18 1HU
201812,A81026,LINTHORPE SURGERY,378 LINTHORPE ROAD,N/A,MIDDLESBROUGH,CLEVELAND,TS5 6HA
201812,A81027,YARM MEDICAL PRACTICE,YARM MEDICAL PRACTICE,MULBERRY HOUSE,1 WORSALL ROAD,YARM  CLEVELAND,TS15 9DD
201812,A81029,PROSPECT SURGERY,THE HEALTH CENTRE,PO BOX 101E,20 CLEVELAND SQUARE,MIDDLESBROUGH,TS1 2NX
201812,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,167A BOROUGH ROAD,N/A,MIDDLESBROUGH,N/A,TS1 3RY
201812,A81031,HAVELOCK GRANGE PRACTICE,ONE LIFE HARTLEPOOL,PARK ROAD,HARTLEPOOL,CLEVELAND,TS24 7PW
201812,A81032,THE GARTH,THE GARTH SURGERY,RECTORY LANE,GUISBOROUGH,CLEVELAND,TS14 7DJ
201812,A81034,THORNABY & BARWICK MEDICAL GROUP,THORNABY HEALTH CENTRE,TRENCHARD AVE  THORNABY,STOCKTON ON TEES,CLEVELAND,TS17 0EE
201812,A81035,NEWLANDS MEDICAL CENTRE,NEWLANDS MEDICAL CENTRE,BOROUGH ROAD,MIDDLESBROUGH,CLEVELAND,TS1 3RX
201812,A81036,NORTON MEDICAL CENTRE,NORTON MEDICAL CENTRE,BILLINGHAM ROAD  NORTON,STOCKTON-ON-TEES,CLEVELAND,TS20 2UZ
